"gender","age","race","state","agency_responsible","congressional_district_113","latitude","longitude","congressperson_party","pop_total_census_tract","pop_white_census_tract","pop_black_census_tract","pop_asian_census_tract","pop_pacific_islander_census_tract","pop_native_american_census_tract"
"Male",28,"Black","MD","Baltimore County Police Department","MD3",39.372429,-76.564031,"Democrat",1083,"76%","23%","1%","0%","0%"
"Male",44,"Native American","NV","Las Vegas Metropolitan Police Department","NV3",36.05016,-115.214935,"Democrat",1699,"45%","21%","28%","0%","0%"
"Male",30,"Black","TX","Houston Police Department","TX2",30.055123,-95.176898,"Republican",835,"97%","3%","0%","0%","0%"
"Male",28,"Black","MO","St. Louis County Police Department","MO1",38.772978,-90.218859,"Democrat",1794,"5%","93%","0%","0%","0%"
"Male",28,"White","SD","Sioux Falls Police Department","SD0",43.568018,-96.769958,"Republican",1087,"92%","3%","4%","0%","0%"
"Male",27,"White","IA","Scott County Sheriff's Office","IA2",41.5855,-90.571413,"Republican",2053,"53%","46%","0%","0%","0%"
"Male",26,"White","UT","Unified Police Department of Greater Salt Lake","UT4",40.537076,-111.931084,"Republican",2850,"95%","1%","2%","0%","0%"
"Male",18,"Black","GA","Gwinnett County Police Department","GA4",33.833993,-84.05267,"Democrat",1624,"31%","65%","0%","0%","0%"
"Male",61,"White","TN","""Newport Police Department, Cocke County Sheriff's Office""","TN1",36.072447,-83.182183,"Republican",1734,"100%","0%","0%","0%","0%"
"Male",37,"Hispanic","CA","Pittsburg Police Department","CA11",38.028395,-121.887681,"Democrat",3480,"21%","37%","17%","2%","0%"
"Male",50,"White","WA","Pierce County Sheriff's Office","WA10",47.110593,-122.432878,"Democrat",1179,"81%","2%","1%","9%","3%"
"Female",34,"White","SC","Darlington County Sheriff's Office","SC7",34.371264,-80.21738,"Republican",2417,"79%","21%","0%","0%","0%"
"Male",35,"White","TX","Paris Police Department","TX4",33.662081,-95.536391,"Republican",770,"44%","50%","3%","0%","0%"
"Male",25,"White","MA","Brockton Police Department","MA8",42.086503,-71.012511,"Democrat",2186,"25%","55%","0%","0%","0%"
"Male",21,"Black","FL","Miami Gardens Police Department","FL24",25.947482,-80.204228,"Democrat",2204,"6%","93%","0%","0%","0%"
"Male",26,"Native American","WI","Green Bay Police Department","WI8",44.524004,-87.936267,"Republican",1678,"75%","12%","4%","0%","8%"
"Male",23,"White","UT","""Salt Lake City Police Department, Saratoga Springs Police Department, Unified Police Department of Greater Salt Lake""","UT2",40.762677,-111.878167,"Republican",1377,"66%","0%","30%","0%","3%"
"Male",19,"Black","NJ","Cape May County Prosecutor's Office","NJ2",39.449232,-75.041937,"Republican",1727,"90%","9%","1%","0%","0%"
"Male",63,"Black","GA","Monroe Police Department","GA10",33.803264,-83.71137,"Republican",1712,"63%","37%","0%","0%","0%"
"Male",61,"White","UT","Unified Police Department of Greater Salt Lake","UT4",40.647878,-111.99727,"Republican",1152,"100%","0%","0%","0%","0%"
"Male",18,"Black","TX","San Antonio Police Department","TX35",29.440625,-98.528746,"Democrat",1269,"60%","40%","0%","0%","0%"
"Male",29,"White","WA","""Longview Police Department, Cowlitz County Sheriff's Office""","WA3",46.117656,-122.933891,"Republican",489,"95%","2%","0%","0%","0%"
"Male",19,"Black","TN","Shelby County Sheriff's Office","TN9",35.073095,-89.884775,"Democrat",1788,"0%","100%","0%","0%","0%"
"Male",58,"Hispanic","OH","Franklin County Sheriff's Office","OH3",39.94669,-83.063315,"Democrat",1512,"53%","47%","0%","0%","0%"
"Male",22,"Black","OH","Fayette County Sheriff's Office","OH10",39.651887,-83.541951,"Republican",1170,"100%","0%","0%","0%","0%"
"Male",41,"White","GA","Hall County Sheriff's Office","GA9",34.260919,-83.740456,"Republican",2382,"55%","39%","6%","0%","0%"
"Male",17,"Hispanic","CA","Tulare County Sheriff's Office","CA21",36.075897,-119.196575,"Republican",863,"100%","0%","0%","0%","0%"
"Male",27,"Black","AR","Fort Smith Police Department","AR3",35.408279,-94.372155,"Republican",1748,"25%","42%","33%","0%","0%"
"Female",26,"Pacific Islander","HI","Hawaii Police Department","HI2",19.609706,-154.951878,"Democrat",4379,"41%","0%","26%","2%","0%"
"Male",17,"White","UT","Orem Police Department","UT3",40.298423,-111.681359,"Republican",1829,"94%","0%","0%","2%","0%"
"Male",84,"White","AZ","Chandler Police Department","AZ9",33.329364,-111.857118,"Democrat",2501,"91%","0%","9%","0%","0%"
"Male",22,"Black","UT","West Jordan Police Department","UT4",40.623648,-111.985441,"Republican",2652,"94%","0%","2%","4%","0%"
"Female",49,"White","IN","Indiana State Police","IN8",39.101679,-87.427179,"Republican",709,"100%","0%","0%","0%","0%"
"Male",30,"White","OR","Portland Police Bureau","OR3",45.468114,-122.578336,"Democrat",2524,"54%","9%","23%","0%","6%"
"Male",47,"Black","NY","Rochester Police Department","NY25",43.142894,-77.564623,"Democrat",898,"93%","4%","0%","0%","1%"
"Male",76,"White","TX","El Paso Police Department","TX16",31.78348,-106.325589,"Democrat",522,"100%","0%","0%","0%","0%"
"Male",22,"Hispanic","NM","Clovis Police Department","NM3",34.404096,-103.196836,"Democrat",810,"79%","0%","0%","0%","0%"
"Male",36,"White","TN","Oak Ridge Police Department","TN3",36.019488,-84.234263,"Republican",1362,"91%","1%","8%","0%","0%"
"Male",24,"White","OK","Canadian County Sheriff's Office","OK3",35.728763,-97.97695,"Republican",1400,"94%","0%","0%","0%","3%"
"Male",39,"White","FL","Bradford County Sheriff's Office","FL3",30.030893,-82.094513,"Republican",1722,"98%","1%","0%","0%","0%"
"Male",36,"White","CA","Placer County Sheriff's Office","CA1",38.93737,-121.113547,"Republican",4065,"87%","1%","7%","0%","1%"
"Male",39,"Asian","HI","Honolulu Police Department","HI1",21.307773,-157.85579,"Democrat",1873,"19%","0%","36%","39%","0%"
"Male",48,"White","OR","Klamath Falls Police Department","OR2",42.469859,-121.872639,"Republican",1056,"54%","0%","0%","0%","39%"
"Male",31,"Black","TN","Metropolitan Nashville Police Department","TN5",36.198966,-86.824072,"Democrat",1728,"7%","92%","0%","0%","0%"
"Male",45,"Black","WV","""West Virginia State Police, Fayette County Sheriff's Office""","WV3",37.961892,-81.183933,"Republican",1177,"93%","0%","0%","0%","7%"
"Male",36,"Black","CA","San Mateo County Sheriff's Office","CA14",37.609118,-122.400007,"Democrat",1526,"29%","1%","63%","0%","0%"
"Male",38,"Black","TN","Mt. Pleasant Police Department","TN8",35.206342,-89.88695,"Republican",1412,"63%","20%","1%","0%","0%"
"Male",25,"White","MS","Greenville Police Department","MS2",33.341184,-91.082425,"Democrat",1225,"47%","54%","0%","0%","0%"
"Male",26,"White","GA","Cobb County Police Department","GA13",33.80609,-84.565907,"Democrat",2323,"26%","74%","0%","0%","0%"
"Female",36,"Black","CA","San Bernardino County Sheriff's Department","CA8",34.520968,-117.30855,"Republican",2553,"78%","15%","2%","0%","0%"
"Male",29,"Hispanic","TX","Harris County Sheriff's Office","TX18",29.793422,-95.389615,"Democrat",1766,"97%","0%","3%","0%","0%"
"Male",23,"White","MN","Hastings Police Department","MN2",44.731116,-92.858939,"Democrat",1403,"96%","0%","1%","0%","0%"
"Male",33,"White","FL","Orlando Police Department","FL10",28.526737,-81.378044,"Democrat",1355,"62%","22%","2%","0%","0%"
"Male",27,"Black","OR","Portland Police Bureau","OR3",45.51864,-122.675442,"Democrat",938,"61%","20%","4%","0%","2%"
"Male",40,"White","TN","Blount County Sheriff's Department","TN2",35.604786,-84.055603,"Republican",1671,"98%","0%","0%","0%","0%"
"Male",40,"White","NH","New Hampshire State Police","NH1",43.034895,-71.120326,"Democrat",1898,"100%","0%","0%","0%","0%"
"Male",58,"White","ID","Nampa Police Department","ID1",43.584952,-116.574827,"Republican",1178,"89%","0%","7%","4%","0%"
"Male",24,"White","SC","Charleston County Sheriff's Office","SC1",32.745071,-80.125509,"Republican",2448,"94%","6%","0%","0%","0%"
"Male",23,"Black","TX","Houston Police Department","TX7",29.740057,-95.496407,"Democrat",1569,"81%","6%","13%","0%","0%"
"Male",32,"Hispanic","NM","Las Cruces Police Department","NM2",32.292534,-106.765891,"Republican",1231,"58%","8%","0%","0%","24%"
"Male",23,"White","LA","Louisiana State Police","LA1",30.503869,-90.463017,"Republican",3125,"69%","29%","1%","0%","0%"
"Male",27,"Hispanic","WA","Kennewick Police Department","WA4",46.198335,-119.131749,"Republican",1535,"94%","6%","0%","0%","0%"
"Male",41,"Black","FL","Palatka Police Department","FL3",29.64826,-81.678994,"Republican",2850,"62%","36%","0%","0%","1%"
"Male",37,"Hispanic","HI","Honolulu Police Department","HI1",21.324476,-157.87717,"Democrat",2213,"2%","0%","92%","3%","0%"
"Male",41,"Hispanic","NY","New York State Police","NY19",41.870623,-73.705536,"Democrat",1174,"87%","3%","10%","0%","0%"
"Male",34,"Black","FL","Orlando Police Department","FL10",28.494076,-81.413119,"Democrat",6002,"49%","35%","7%","0%","0%"
"Male",29,"White","KY","Kentucky State Police","KY5",36.631793,-84.098023,"Republican",889,"100%","0%","0%","0%","0%"
"Male",42,"Hispanic","CA","Los Angeles County Sheriff's Department","CA34",34.049775,-118.187103,"Democrat",1747,"89%","0%","6%","0%","0%"
"Male",20,"White","AZ","Peoria Police Department","AZ8",33.581007,-112.230441,"Republican",3276,"83%","3%","5%","0%","0%"
"Male",29,"Black","MD","Baltimore Police Department","MD7",39.29045,-76.629849,"Democrat",1128,"0%","100%","0%","0%","0%"
"Male",35,"White","TN","Hamilton County Sheriff's Office","TN3",35.205936,-85.08734,"Republican",2201,"100%","0%","0%","0%","0%"
"Male",28,"White","CO","Longmont Police Department","CO4",40.144033,-105.130639,"Republican",1879,"77%","12%","0%","0%","9%"
"Male",55,"White","HI","Honolulu Police Department","HI1",21.291347,-157.835593,"Democrat",1917,"16%","1%","63%","11%","0%"
"Male",33,"White","OR","Eagle Point Police Department","OR2",42.472429,-122.813168,"Republican",2672,"98%","0%","0%","0%","0%"
"Male",18,"Hispanic","CA","Los Angeles County Sheriff's Department","CA40",34.02375,-118.189855,"Democrat",647,"0%","0%","100%","0%","0%"
"Male",39,"Hispanic","CA","Los Angeles County Sheriff's Department","CA40",34.02375,-118.189855,"Democrat",647,"0%","0%","100%","0%","0%"
"Male",61,"White","PA","""German Township Police Department, Masontown Police Department""","PA14",39.846889,-79.899679,"Republican",1605,"85%","8%","0%","0%","0%"
"Male",37,"White","WA","Marysville Police Department","WA2",48.114013,-122.153463,"Democrat",2983,"73%","5%","15%","0%","0%"
"Male",73,"White","PA","Pennsylvania State Police","PA16",40.815958,-79.997429,"Republican",1655,"99%","0%","0%","0%","0%"
"Male",43,"White","VA","Virginia Beach Police Department","VA2",36.863147,-75.980336,"Democrat",835,"81%","8%","0%","0%","0%"
"Female",54,"White","NY","New York Police Department","NY6",40.722747,-73.894019,"Democrat",1423,"100%","0%","0%","0%","0%"
"Male",44,"White","KY","Christian County Sheriff's Department","KY1",36.99651,-87.337843,"Republican",1157,"97%","3%","0%","0%","0%"
"Male",23,"Hispanic","MD","Prince George's County Police Department","MD4",38.804203,-76.949157,"Democrat",2487,"0%","94%","1%","0%","2%"
"Male",25,"White","WI","Manitowoc Police Department","WI6",44.080888,-87.690854,"Republican",1318,"76%","0%","24%","0%","0%"
"Male",29,"Hispanic","PA","Lancaster Police Department","PA11",40.035241,-76.295575,"Republican",1611,"45%","55%","0%","0%","0%"
"Male",29,"White","KS","Sedgwick County Sheriff's Office","KS4",37.688951,-97.67985,"Republican",1283,"94%","3%","0%","0%","0%"
"Male",31,"Black","LA","Shreveport Police Department","LA4",32.497681,-93.792859,"Republican",1375,"0%","98%","0%","0%","0%"
"Female",29,"Hispanic","TX","U.S. Customs and Border Control","TX28",27.758447,-99.4385,"Democrat",2360,"100%","0%","0%","0%","0%"
"Female",35,"Hispanic","TX","U.S. Customs and Border Patrol","TX28",27.758447,-99.4385,"Democrat",2360,"100%","0%","0%","0%","0%"
"Male",50,"White","AR","Jacksonville Police Department","AR2",34.855282,-92.097372,"Republican",2637,"30%","66%","0%","0%","1%"
"Male",19,"Black","MD","Greensboro MD Police Department","MD1",38.963821,-75.796561,"Republican",1909,"95%","3%","1%","0%","0%"
"Male",31,"White","IA","Ankeny Police Department","IA3",41.702293,-93.626568,"Democrat",5191,"86%","5%","4%","0%","1%"
"Transgender",28,"Hispanic","TX","U.S. Customs and Border Patrol","TX28",27.758447,-99.4385,"Democrat",2360,"100%","0%","0%","0%","0%"
"Male",53,"Black","NC","Craven County Sheriff's Office","NC3",35.221589,-77.439192,"Republican",1369,"83%","17%","0%","0%","0%"
"Male",52,"Hispanic","TX","Laredo Police Department","TX28",27.514022,-99.492794,"Democrat",1336,"100%","0%","0%","0%","0%"
"Female",42,"White","TX","U.S. Customs and Border Patrol","TX28",27.719136,-99.705031,"Democrat",2360,"100%","0%","0%","0%","0%"
"Male",57,"White","KY","""Scott County Sheriff's Office, Georgetown Police Department, U.S. Marshals Service""","KY6",38.302263,-84.558944,"Republican",2200,"99%","1%","0%","0%","0%"
"Male",24,"Black","NC","Greenville Police Department","NC1",35.611002,-77.371322,"Democrat",1661,"70%","25%","0%","0%","0%"
"Female",39,"Black","TX","Missouri City Police Department","TX22",29.596074,-95.565003,"Republican",2476,"27%","42%","30%","0%","0%"
"Male",63,"White","AL","""Citronelle Police Department, Satsuma Police Department""","AL1",31.069239,-88.287872,"Republican",3637,"80%","16%","0%","0%","1%"
"Female",49,"White","TX","Galveston Police Department","TX14",29.261036,-94.845909,"Republican",940,"89%","5%","7%","0%","0%"
"Male",29,"Hispanic","OH","Cincinnati Police Department","OH1",39.101808,-84.511772,"Republican",739,"75%","14%","11%","0%","0%"
"Male",26,"Black","TX","Dallas Police Department","TX30",32.769259,-96.797456,"Democrat",2241,"54%","42%","1%","0%","0%"
"Male",33,"White","AL","Alabama Department of Public Safety","AL6",33.75013,-86.807063,"Republican",2057,"96%","2%","2%","0%","0%"
"Male",45,"White","NC","Yadkin County Sheriff's Office","NC10",36.212275,-80.831347,"Republican",818,"100%","0%","0%","0%","0%"
"Male",27,"White","CO","Westminster Police Department","CO7",39.87291,-105.030698,"Democrat",1449,"87%","2%","4%","0%","0%"
"Male",21,"Black","GA","Covington Police Department","GA4",33.610877,-83.830243,"Democrat",1582,"13%","86%","0%","0%","0%"
"Male",70,"Hispanic","NM","Bernalillo Police Department","NM1",35.306495,-106.539948,"Democrat",1091,"100%","0%","0%","0%","0%"
"Female",42,"White","CA","California Highway Patrol","CA4",38.37141,-120.800168,"Republican",1958,"97%","0%","1%","1%","0%"
"Male",40,"White","WA","Cheney Police Department","WA5",47.483313,-117.581831,"Republican",1142,"86%","6%","2%","0%","0%"
"Male",24,"Black","TX","Arlington Police Department","TX6",32.699661,-97.14751,"Republican",1314,"43%","46%","7%","0%","1%"
"Male",61,"White","CO","Douglas County Sheriff's Office","CO4",39.454917,-104.980351,"Republican",4868,"91%","2%","4%","1%","0%"
"Male",64,"White","FL","Citrus County Sheriff's Office","FL11",28.780484,-82.241775,"Republican",1371,"96%","0%","1%","0%","2%"
"Male",36,"White","TN","Fairview Police Department","TN7",35.993343,-86.745623,"Republican",2299,"86%","4%","10%","0%","0%"
"Female",49,"Hispanic","CA","South Pasadena Police Department","CA27",34.11358,-118.152718,"Democrat",845,"49%","0%","45%","0%","0%"
"Female",45,"White","FL","""Citrus County Sheriff's Office, Hernando County Sheriff's Office""","FL11",28.948415,-82.53627,"Republican",3603,"95%","1%","4%","0%","0%"
"Male",72,"White","OH","Fayette County Sheriff's Office","OH10",39.66449,-83.337665,"Republican",1242,"100%","0%","0%","0%","0%"
"Male",17,"Black","TX","""Texas Department of Public Safety, Harris County Sheriff's Office""","TX29",29.884259,-95.411027,"Democrat",3335,"82%","19%","0%","0%","0%"
"Male",18,"White","CA","Redlands Police Department","CA31",34.022079,-117.111889,"Democrat",731,"100%","0%","0%","0%","0%"
"Male",37,"Hispanic","NC","Tarboro Police Department","NC1",35.92691,-77.57163,"Democrat",1654,"67%","30%","0%","0%","0%"
"Male",50,"Black","DE","Delaware State Police","DE0",38.685237,-75.249986,"Democrat",4105,"85%","7%","1%","0%","2%"
"Male",42,"White","PA","Pennsylvania State Police","PA15",41.763189,-78.255144,"Republican",1231,"100%","0%","0%","0%","0%"
"Male",34,"White","CA","Redding Police Department","CA1",40.57154,-122.355008,"Republican",1719,"86%","0%","6%","0%","6%"
"Female",41,"White","SC","Cherokee County Sheriff's Office","SC5",35.062569,-81.520362,"Republican",644,"97%","0%","0%","0%","0%"
"Male",29,"White","PA","""West Manchester Township Police Department, Northern York County Regional Police Department""","PA10",39.984618,-76.72543,"Republican",2198,"76%","18%","2%","0%","0%"
"Male",18,"White","VA","Montgomery County Sheriff's Office","VA9",37.152732,-80.51291,"Republican",1112,"98%","0%","2%","0%","0%"
"Male",44,"White","SC","Spartanburg County Sheriff's Office","SC4",34.69031,-81.833846,"Republican",2010,"92%","4%","0%","0%","0%"
"Male",25,"Black","OK","Tulsa Police Department","OK1",36.151085,-95.990176,"Republican",984,"73%","11%","8%","0%","3%"
"Male",20,"Black","OH","Cincinnati Police Department","OH1",39.128136,-84.483784,"Republican",826,"28%","68%","1%","0%","0%"
"Female",23,"Hispanic","NM","Valencia County Sheriff's Office","NM2",34.756322,-106.636196,"Republican",1600,"0%","0%","0%","0%","0%"
"Female",23,"White","OH","Columbus Division of Police","OH3",39.950961,-83.030267,"Democrat",240,"89%","11%","0%","0%","0%"
"Male",35,"Hispanic","CA","Santa Ana Police Department","CA46",33.745269,-117.866402,"Democrat",2756,"0%","0%","0%","0%","0%"
"Male",23,"Hispanic","CA","Orange County Sheriff's Department","CA49",33.497738,-117.662112,"Democrat",2010,"89%","0%","8%","0%","2%"
"Male",33,"Black","GA","Atlanta Police Department ","GA5",33.727166,-84.4078,"Democrat",389,"6%","94%","0%","0%","0%"
"Male",21,"Black","CA","Bakersfield Police Department","CA23",35.327507,-119.056112,"Republican",2336,"52%","39%","9%","0%","0%"
"Male",30,"White","CA","Culver City Police Department","CA37",34.015299,-118.401404,"Democrat",961,"71%","0%","13%","0%","0%"
"Male",17,"Hispanic","TX","Dallas Police Department","TX30",32.772483,-96.70007,"Democrat",1320,"100%","0%","0%","0%","0%"
"Male",21,"Black","TX","Austin Police Department","TX21",30.267614,-97.740064,"Republican",4992,"89%","6%","4%","0%","0%"
"Male",30,"Black","AK","Wasilla Police Department","AK0",61.609415,-149.508118,"Republican",2055,"81%","0%","1%","0%","10%"
"Male",28,"Hispanic","CA","San Diego County Sheriff's Department","CA50",33.327354,-117.163733,"Republican",1890,"95%","0%","2%","0%","0%"
"Male",58,"White","FL","Baker County Sheriff's Office","FL5",30.153804,-82.35492,"Democrat",2699,"58%","37%","0%","0%","1%"
"Male",31,"White","IA","Creston Police Department","IA3",41.05733,-94.380507,"Democrat",589,"98%","0%","0%","0%","0%"
"Male",33,"Black","OK","Oklahoma City Police Department","OK5",35.435634,-97.600314,"Republican",952,"73%","1%","6%","2%","3%"
"Male",21,"Hispanic","CA","Los Angeles County Sheriff's Department","CA40",34.040459,-118.159682,"Democrat",1651,"0%","71%","24%","0%","0%"
"Male",43,"White","LA","Livingston Parish Sheriff's Office","LA6",30.591087,-90.929211,"Republican",4753,"93%","1%","2%","0%","0%"
"Male",28,"Black","OH","Columbus Division of Police","OH12",40.064352,-82.999207,"Republican",737,"88%","6%","2%","0%","0%"
"Male",40,"Black","MD","Prince George's County Police Department","MD4",38.913077,-76.871601,"Democrat",2511,"1%","94%","0%","0%","0%"
"Male",30,"Black","NV","Las Vegas Metropolitan Police Department","NV1",36.101074,-115.056257,"Democrat",948,"70%","20%","0%","9%","0%"
"Male",54,"Black","NE","Omaha Police Department","NE2",41.270245,-95.938784,"Republican",1517,"30%","63%","1%","0%","2%"
"Male",25,"White","TN","Carthage Police Department","TN6",36.264805,-85.94986,"Republican",1911,"89%","7%","0%","0%","2%"
"Male",37,"White","NC","Durham Police Department","NC4",35.953457,-78.998694,"Democrat",3583,"69%","10%","17%","0%","1%"
"Male",24,"White","IN","Monroe County Sheriff's Office","IN9",39.108075,-86.609216,"Republican",997,"100%","0%","0%","0%","0%"
"Male",39,"Black","GA","DeKalb County Sheriff's Office","GA5",33.801668,-84.443231,"Democrat",3808,"63%","26%","2%","0%","0%"
"Male",59,"Black","PA","Philadelphia Police Department","PA3",40.025386,-75.164767,"Democrat",578,"12%","88%","0%","0%","0%"
"Male",62,"Black","NV","Las Vegas Metropolitan Police Department","NV4",36.17787,-115.171138,"Democrat",1012,"16%","38%","17%","0%","0%"
"Male",68,"White","AR","Van Buren Police Department","AR3",35.471558,-94.368141,"Republican",3469,"91%","0%","5%","0%","1%"
"Male",43,"Native American","MN","St. Paul Police Department","MN4",44.951978,-93.137745,"Democrat",904,"18%","53%","27%","0%","1%"
"Male",38,"White","FL","Delray Beach Police Department","FL21",26.450567,-80.101395,"Democrat",948,"67%","26%","2%","6%","0%"
"Male",33,"White","MO","""Clay County Sheriff's Office, Liberty Police Department""","MO6",39.233838,-94.439297,"Republican",3039,"98%","0%","0%","0%","0%"
"Male",31,"White","WA","Spokane County Sheriff's Office","WA5",47.999122,-117.458507,"Republican",3476,"99%","0%","0%","0%","0%"
"Male",34,"Black","AR","Pine Bluff Police Department","AR4",34.24555,-92.027999,"Republican",1250,"7%","93%","0%","0%","1%"
"Male",29,"Hispanic","FL","Volusia County Sheriff's Office","FL6",29.316008,-81.492592,"Republican",857,"100%","0%","0%","0%","0%"
"Male",29,"White","NM","Las Cruces Police Department","NM2",32.33805,-106.769023,"Republican",1442,"100%","0%","0%","0%","0%"
"Male",49,"White","AR","Trumann Police Department","AR1",35.694269,-90.517607,"Republican",1308,"74%","22%","0%","0%","0%"
"Male",57,"Hispanic","CO","Westminster Police Department","CO7",39.912436,-105.05423,"Democrat",860,"93%","0%","4%","1%","0%"
"Male",41,"Black","LA","Shreveport City Marshal","LA4",32.448276,-93.785571,"Republican",1595,"9%","89%","1%","0%","1%"
"Male",27,"Black","MD","Prince George's County Police Department","MD4",38.803437,-76.990176,"Democrat",2353,"8%","77%","12%","0%","2%"
"Male",35,"Hispanic","TX","Amarillo Police Department","TX13",34.809065,-102.414758,"Republican",1697,"96%","0%","0%","0%","0%"
"Male",53,"White","AZ","Tucson Police Department","AZ3",32.140957,-110.912702,"Democrat",3452,"69%","27%","4%","0%","0%"
"Male",73,"White","CO","Aurora Police Department","CO6",39.747773,-104.864151,"Democrat",1397,"83%","11%","0%","0%","0%"
"Male",35,"Black","AR","Arkansas State Police","AR1",35.8187,-89.968253,"Republican",594,"94%","3%","2%","0%","0%"
"Male",44,"Hispanic","PA","South Whitehall Township Police Department","PA7",40.57573,-75.52958,"Democrat",1798,"88%","5%","6%","0%","0%"
"Male",33,"White","NC","Moore County Sheriff's Office","NC9",35.133695,-79.47824,"Republican",1887,"54%","30%","0%","0%","11%"
"Female",60,"Black","GA","Savannah Police Department","GA1",32.084789,-81.122718,"Republican",942,"6%","94%","0%","0%","0%"
"Male",24,"Hispanic","CA","Redondo Beach Police Department","CA33",33.87829,-118.36626,"Democrat",1349,"86%","3%","6%","0%","0%"
"Male",30,"White","AR","Springdale Police Department","AR3",36.169455,-94.043725,"Republican",1370,"91%","0%","4%","0%","0%"
"Male",18,"Hispanic","WA","King County Sheriff's Office","WA9",47.383945,-122.23279,"Democrat",2679,"52%","15%","11%","4%","2%"
"Male",53,"Pacific Islander","HI","Honolulu Police Department","HI2",21.388554,-158.136621,"Democrat",2218,"2%","0%","5%","58%","0%"
"Male",56,"White","AZ","Lake Havasu City Police Department","AZ4",34.497508,-114.317078,"Republican",1471,"96%","4%","0%","0%","0%"
"Male",54,"White","WA","Spokane County Sheriff's Office","WA5",47.646148,-117.365481,"Republican",868,"81%","2%","4%","0%","3%"
"Male",64,"White","TN","""Campbell County Sheriff's Office, Tennessee Highway Patrol""","TN3",36.412513,-84.041234,"Republican",1456,"97%","0%","0%","0%","0%"
"Male",23,"Hispanic","TX","Amarillo Police Department","TX13",35.191496,-101.789444,"Republican",1205,"79%","12%","2%","0%","1%"
"Male",20,"Black","FL","Bradford County Sheriff's Office","FL3",29.917074,-82.122126,"Republican",1297,"50%","50%","0%","0%","0%"
"Female",39,"White","TN","Red Bank Police Department","TN3",35.305602,-85.176138,"Republican",1862,"97%","0%","0%","0%","0%"
"Male",44,"White","OR","Seaside Police Department","OR1",45.984807,-123.923505,"Democrat",822,"100%","0%","0%","0%","0%"
"Male",71,"White","VA","Bristol Police Department","VA9",36.605842,-82.161628,"Republican",1905,"90%","2%","0%","0%","0%"
"Male",33,"Hispanic","NC","Burlington Police Department","NC13",36.104725,-79.478373,"Republican",1240,"78%","19%","1%","0%","0%"
"Male",30,"Hispanic","MD","Montgomery County Police Department","MD3",39.072246,-76.952294,"Democrat",3445,"15%","64%","22%","0%","0%"
"Male",17,"White","OK","Bixby Police Department","OK1",35.918799,-95.881627,"Republican",1144,"71%","3%","0%","0%","15%"
"Male",39,"White","AZ","Pima County Sheriff's Department","AZ3",32.133067,-111.085575,"Democrat",2160,"0%","1%","0%","0%","97%"
"Male",37,"Hispanic","CA","Fresno Police Department","CA16",36.754802,-119.828774,"Democrat",746,"24%","0%","76%","0%","0%"
"Female",27,"Hispanic","CA","Los Angeles Police Department","CA28",34.107669,-118.271787,"Democrat",612,"72%","2%","18%","0%","1%"
"Male",57,"White","OH","Toledo Police Department","OH5",41.595903,-83.64593,"Republican",1585,"75%","16%","6%","0%","0%"
"Male",33,"Pacific Islander","HI","Hawaii Police Department","HI2",19.035956,-155.659382,"Democrat",2150,"66%","0%","4%","14%","0%"
"Male",38,"White","FL","Sumter County Sheriff's Office","FL11",28.909716,-81.95987,"Republican",39928,"97%","0%","2%","0%","0%"
"Male",19,"White","TX","""Harris County Sheriff's Office, Cy Fair Independent School District Police Department""","TX7",29.907187,-95.636608,"Democrat",2310,"39%","4%","44%","0%","0%"
"Male",32,"White","KY","Jeffersontown Police Department","KY3",38.21799,-85.599536,"Democrat",1121,"85%","11%","4%","0%","0%"
"Male",19,"Hispanic","IL","Peoria Police Department","IL17",40.688495,-89.620212,"Democrat",700,"9%","75%","2%","0%","0%"
"Male",59,"White","TX","Waller County Sheriff's Office","TX10",29.819934,-95.992677,"Republican",844,"92%","4%","0%","0%","2%"
"Male",30,"Hispanic","NM","""New Mexico State Police, Albuquerque Police Department""","NM1",35.090618,-106.716851,"Democrat",2735,"34%","10%","5%","0%","52%"
"Male",33,"White","NC","Fletcher Police Department","NC11",35.434763,-82.501296,"Republican",2647,"93%","6%","2%","0%","0%"
"Male",25,"White","IA","Polk County Sheriff's Office","IA3",41.655403,-93.466131,"Democrat",1687,"97%","0%","0%","0%","0%"
"Male",51,"White","NC","Caldwell County Sheriff's Office","NC5",35.980713,-81.470709,"Republican",1520,"97%","0%","0%","0%","0%"
"Male",68,"Black","SC","Florence Police Department","SC7",34.187374,-79.835326,"Republican",1332,"73%","22%","2%","0%","0%"
"Male",25,"Hispanic","CA","Rialto Police Department","CA35",34.036572,-117.37607,"Democrat",4343,"90%","1%","7%","0%","0%"
"Male",34,"White","TX","Alvin Police Department","TX22",29.420893,-95.266655,"Republican",1565,"85%","2%","0%","0%","2%"
"Male",37,"Black","IL","Chicago Police Department","IL2",41.766592,-87.575972,"Democrat",506,"0%","100%","0%","0%","0%"
"Male",37,"Black","NJ","Vineland Police Department","NJ2",39.487588,-75.02825,"Republican",1316,"15%","75%","3%","0%","0%"
"Male",60,"White","FL","Hillsborough County Sheriff's Office","FL16",27.812371,-82.321954,"Republican",9064,"59%","29%","6%","0%","1%"
"Male",17,"Hispanic","TX","Dallas Police Department","TX30",32.750612,-96.663181,"Democrat",1152,"22%","78%","0%","0%","0%"
