grade,age,gender,live,times moved,now living,time work,time no adult,time friend,time school act,time noschool act,time reading,time church,time HW,time excersize,time fruit,30 smoke,30 5drinks,30dr driving,30 cig,30cigars,30drink,30marijuana,30glue,30meth,30coke,30amph,30prescription,30counter,30chew,30steroid,30barbituates,pride,truth,values drug,responsibility,friends,fix problems,decision,excite,hard work,Pop cig,Pop drink,Pop marijuana,Pop otherdrug,safe,best school,talk adult,grades,home rules,home happy,home al drug,home close,home talk,home support,home know,home chores,home wrong,home praise,Wpdrink,N safe,
6th,12,Male,"In a medium sized city, 5,000-30,000 population",Twice,with a parent/s,1-2 hours,6-10 hours,0 hours,1-2 hours,0 hours,1-2 hours,0 hours,1-2 hours,7,5 or more times per day,-1,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Used but not last 30 days,Have never used,Have never used,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Strongly agree,Agree,Strongly agree,Average,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Sometimes,Always,Very wrong,Strongly agree,
6th,12,Male,"In a large city over 30,000 population",None,with a parent/s,0 hours,0 hours,0 hours,0 hours,0 hours,0 hours,0 hours,1-2 hours,7,I did not eat fruit and/or vegetables during the past 7 days,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Average,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,Dont know,Strongly agree,
6th,12,Male,"In a medium sized city, 5,000-30,000 population",Once,with a parent/s,0 hours,6-10 hours,1-2 hours,3-5 hours,0 hours,1-2 hours,0 hours,6-10 hours,5,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,.,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,A lot less popular,A lot less popular,.,.,Agree,Agree,Strongly agree,Average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Often,Always,Sometimes,Often,Very wrong,Strongly agree,
6th,12,Male,"In the country, but not on a farm",None,with a parent/s,0 hours,0 hours,3-5 hours,0 hours,6-10 hours,3-5 hours,1-2 hours,3-5 hours,5,5 or more times per day,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
6th,12,Male,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,4,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,.,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Above average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Often,Very wrong,Strongly agree,
6th,12,Male,On a farm,None,with a parent/s,0 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,4,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,A lot less popular,Less popular,A lot less popular,Less popular,Strongly agree,Strongly agree,Strongly agree,Above average,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Often,Always,Often,Very wrong,Strongly agree,
6th,12,Male,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,0 hours,1-2 hours,1-2 hours,0 hours,11 or more hours,0 hours,1-2 hours,3,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Strongly agree,Strongly agree,Strongly agree,Above average,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Never,Never,Never,Never,Very wrong,Strongly agree,
6th,12,Male,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,1-2 hours,1-2 hours,0 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,6,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,-1,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,.,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Above average,Strongly agree,Strongly agree,Agree,.,Strongly agree,Strongly agree,Often,Often,Often,Always,Very wrong,Strongly agree,
6th,12,Male,On a farm,None,with a parent/s,0 hours,1-2 hours,0 hours,6-10 hours,3-5 hours,0 hours,0 hours,3-5 hours,7,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,A lot more popular,A lot more popular,A lot more popular,A lot more popular,Strongly disagree,Strongly agree,Strongly disagree,Failing,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Never,Never,Never,Never,Very wrong,Agree,
6th,12,Male,"In a large city over 30,000 population",None,with a parent/s,0 hours,1-2 hours,1-2 hours,1-2 hours,11 or more hours,0 hours,1-2 hours,1-2 hours,6,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Strongly agree,Agree,Agree,Average,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Sometimes,Sometimes,Sometimes,Very wrong,Strongly agree,
6th,12,Male,"In a large city over 30,000 population",Four times or more,with a parent/s,0 hours,6-10 hours,1-2 hours,0 hours,3-5 hours,3-5 hours,0 hours,3-5 hours,5,5 or more times per day,I did not smoke cigarettes during the past 30 days,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,A lot less popular,More popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Above average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
6th,12,Male,"In a medium sized city, 5,000-30,000 population",Three times,with a parent/s,0 hours,1-2 hours,1-2 hours,0 hours,3-5 hours,3-5 hours,1-2 hours,1-2 hours,5,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Strongly agree,Strongly agree,Average,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Often,Sometimes,Sometimes,Never,Very wrong,Strongly agree,
6th,12,Male,"In the country, but not on a farm",None,with a parent/s,-1,1-2 hours,-1,-1,3-5 hours,1-2 hours,0 hours,1-2 hours,7,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,-1,0 days,0 days,0 days,0 days,0 days,0 days,0 days,-1,0 days,0 days,Have never used,Have never used,Have never used,.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,.,Agree,Agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Agree,Agree,Above average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Often,Always,Very wrong,Strongly agree,
6th,12,Male,"In the country, but not on a farm",None,with a parent/s,0 hours,3-5 hours,-1,0 hours,3-5 hours,1-2 hours,0 hours,1-2 hours,7,2 times per day,I did not smoke cigarettes during the past 30 days,0 days,0 days,0 days,0 days,0 days,0 days,1-2 days,0 days,0 days,0 days,0 days,0 days,Have never used,Used but not last 30 days,Have never used,Disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Strongly agree,Strongly disagree,Above average,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Often,Sometimes,Always,Sometimes,Very wrong,Disagree,
6th,12,Male,"In a small city or town, less than 5,000 population",Once,with a parent/s,1-2 hours,1-2 hours,1-2 hours,1-2 hours,3-5 hours,1-2 hours,0 hours,1-2 hours,4,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,A lot less popular,A lot less popular,Agree,Agree,Strongly agree,Average,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Often,Always,Often,Often,Very wrong,Agree,
6th,12,Male,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,11 or more hours,0 hours,0 hours,3-5 hours,0 hours,1-2 hours,3-5 hours,7,5 or more times per day,I did not smoke cigarettes during the past 30 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly agree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Strongly agree,Below average,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Often,Often,Often,Often,Very wrong,Agree,
6th,12,Male,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,3-5 hours,0 hours,0 hours,3-5 hours,1-2 hours,3-5 hours,6-10 hours,2,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Often,Always,Very wrong,Strongly agree,
6th,12,Male,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,1-2 hours,1-2 hours,1-2 hours,3-5 hours,1-2 hours,1-2 hours,3-5 hours,7,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,A lot less popular,Wouldnt change my popularity,A lot less popular,A lot less popular,Agree,Strongly agree,Agree,Above average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Often,Always,Always,Often,Very wrong,Agree,
6th,12,Male,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,1-2 hours,3-5 hours,1-2 hours,0 hours,3-5 hours,0 hours,6-10 hours,2,4 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,-1,0 days,0 days,3-5 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,A lot more popular,A lot more popular,A lot more popular,A lot more popular,Strongly agree,Strongly agree,Strongly agree,Average,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Often,Always,Sometimes,Always,Very wrong,Strongly agree,
6th,12,Male,"In a small city or town, less than 5,000 population",None,with a parent/s,3-5 hours,1-2 hours,1-2 hours,6-10 hours,6-10 hours,-1,1-2 hours,1-2 hours,6,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,.,Strongly agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
6th,12,Male,"In a large city over 30,000 population",None,with a parent/s,0 hours,0 hours,0 hours,0 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,7,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,-1,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Less popular,Less popular,Less popular,Less popular,Disagree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Often,Very wrong,Strongly agree,
6th,12,Male,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,0 hours,1-2 hours,3-5 hours,-1,1-2 hours,1-2 hours,1-2 hours,7,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Never,Never,Never,Never,Very wrong,Strongly agree,
6th,12,Male,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,3-5 hours,1-2 hours,1-2 hours,1-2 hours,0 hours,0 hours,3-5 hours,7,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Less popular,Wouldnt change my popularity,Wouldnt change my popularity,Less popular,Disagree,Agree,Agree,Average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Often,Often,Often,A little wrong,Strongly agree,
6th,12,Male,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,1-2 hours,3-5 hours,0 hours,11 or more hours,1-2 hours,1-2 hours,11 or more hours,7,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Strongly agree,Strongly agree,Strongly agree,Above average,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Always,Often,Often,Always,Very wrong,Strongly agree,
6th,12,Male,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,0 hours,6-10 hours,11 or more hours,11 or more hours,0 hours,11 or more hours,11 or more hours,6,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Disagree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Sometimes,Always,Very wrong,Strongly agree,
6th,12,Male,"In the country, but not on a farm",None,with a parent/s,0 hours,1-2 hours,6-10 hours,3-5 hours,6-10 hours,11 or more hours,1-2 hours,1-2 hours,7,5 or more times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
6th,12,Male,"In a large city over 30,000 population",None,with a parent/s,0 hours,0 hours,1-2 hours,0 hours,0 hours,3-5 hours,0 hours,1-2 hours,7,1 time per day,I did not smoke cigarettes during the past 30 days,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Less popular,Wouldnt change my popularity,Less popular,Wouldnt change my popularity,Strongly agree,Strongly agree,Strongly agree,Average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Often,Always,Often,Wrong,Disagree,
6th,12,Male,"In a large city over 30,000 population",None,with a parent/s,-1,-1,-1,-1,-1,-1,-1,-1,6,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Strongly agree,Above average,Agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Always,Often,Sometimes,-1,.,Strongly agree,
6th,12,Male,"In a medium sized city, 5,000-30,000 population",Once,with a parent/s,0 hours,0 hours,0 hours,0 hours,6-10 hours,0 hours,0 hours,3-5 hours,0,I did not eat fruit and/or vegetables during the past 7 days,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Below average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
6th,12,Male,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,1-2 hours,0 hours,6-10 hours,1-2 hours,3-5 hours,3-5 hours,3-5 hours,6,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Strongly agree,Strongly agree,Strongly agree,Above average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
6th,12,Male,"In a small city or town, less than 5,000 population",Once,with a parent/s,0 hours,1-2 hours,1-2 hours,0 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,6,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,1-2 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Sometimes,Always,Often,Always,Very wrong,Disagree,
6th,12,Male,On a farm,Once,with a parent/s,11 or more hours,0 hours,1-2 hours,3-5 hours,1-2 hours,3-5 hours,3-5 hours,1-2 hours,7,3 times per day,I did not smoke cigarettes during the past 30 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Disagree,Strongly agree,Strongly agree,Average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Sometimes,Always,Very wrong,Strongly agree,
6th,12,Male,On a farm,None,with a parent/s,1-2 hours,11 or more hours,3-5 hours,3-5 hours,3-5 hours,0 hours,1-2 hours,1-2 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Disagree,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,Average,Disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Sometimes,Often,Often,Sometimes,Very wrong,Agree,
6th,12,Male,"In the country, but not on a farm",None,with a parent/s,0 hours,3-5 hours,1-2 hours,3-5 hours,3-5 hours,1-2 hours,3-5 hours,1-2 hours,4,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Less popular,Less popular,Less popular,Less popular,Agree,Agree,Strongly agree,Above average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Often,Often,Often,Very wrong,Agree,
6th,12,Male,"In a large city over 30,000 population",None,with grandparents or other relatives,0 hours,0 hours,0 hours,0 hours,0 hours,0 hours,1-2 hours,1-2 hours,0,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
6th,12,Male,"In the country, but not on a farm",None,with foster parents,0 hours,0 hours,3-5 hours,0 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,-1,4 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly disagree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
6th,12,Male,"In a medium sized city, 5,000-30,000 population",Once,with a parent/s,0 hours,0 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,4,I did not eat fruit and/or vegetables during the past 7 days,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Above average,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Often,Always,Often,Very wrong,Strongly agree,
6th,12,Male,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,1-2 hours,0 hours,3-5 hours,3-5 hours,1-2 hours,11 or more hours,3-5 hours,3-5 hours,5,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Less popular,Less popular,Less popular,Less popular,Agree,Strongly agree,Strongly agree,Excellent,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Always,Always,Always,Sometimes,Very wrong,Agree,
6th,12,Male,"In the country, but not on a farm",Once,with a parent/s,0 hours,0 hours,0 hours,0 hours,0 hours,1-2 hours,0 hours,1-2 hours,1,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Often,Always,Always,Always,Very wrong,Strongly agree,
